NUMESCALA;C_Abonos;C_Agro-ganadero y alimentario;C_Energético;C_Material de construcción;C_Minerales no metálicos;C_Químicos;C_Siderometalúrgico;C_Vehículos y elementos de transporte;C_Otras mercancías;D_Abonos;D_Agro-ganadero y alimentario;D_Energético;D_Material de construcción;D_Minerales no metálicos;D_Químicos;D_Siderometalúrgico;D_Vehículos y elementos de transporte;D_Otras mercancías
C202000545;0;0;0;0;0;1803.6;0;0;0;0;0;0;0;0;0;0;0;0
C202000546;0;0;0;0;0;0;0;0;0;7764.004;0;0;0;0;0;0;0;0
C202000547;0;0;0;0;0;0;2929.716;0;0;0;0;0;0;0;0;0;0;0
C202000548;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4755.424;0;0
C202000553;0;0;0;0;0;0;0;0;0;0;2956.56;0;0;0;0;0;0;0
C202000559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3849.9;0;0
C202000560;0;0;0;0;0;0;0;0;0;0;2850;0;0;0;0;0;0;0
C202000561;0;0;0;0;0;0;0;0;0;0;2558.16;0;0;0;0;0;0;0
C202000571;0;0;0;0;0;0;0;0;0;4850;0;0;0;0;0;0;0;0
C202000575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1363.559
C202000577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;804.9
C202000582;0;0;0;0;0;64.483;0;0;0;0;0;0;0;0;0;0;0;0
C202000583;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32999.51;0;0
C202000585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3264.976;0;0
C202000593;0;0;0;0;0;40.508;0;0;142.804;0;0;0;0;0;0;0;0;0
C202000596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4467.821;0;0
C202000597;0;0;0;0;0;15000;0;0;0;0;0;0;0;0;0;0;0;0
C202000598;0;0;0;0;0;0;0;0;0;0;0;0;0;6018.325;0;0;0;0
C202000621;0;0;0;0.18;0;26.893;0;0;0;0;0;0;0;0;0;0;0;0
C202000622;0;0;0;0;0;37.994;0;0;0;0;0;0;0;0;0;0;0;0
C202000624;0;0;0;0;0;0;2582.12;0;0;0;0;0;0;0;0;0;0;0
C202000626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4760.73;0;0
C202000627;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28915.08;0;0
C202000632;0;0;0;0;0;0;0;0;0;0;0;71500;0;0;0;0;0;0
C202000638;0;0;0;0;0;28880.58;0;0;0;0;0;0;0;0;0;0;0;0
C202000642;0;0;0;0;0;0;0;0;1448.749;0;0;0;0;0;0;0;0;0
C202000650;0;0;0;0.36;0;263.707;5.949;0;0;0;0;0;0;0;0;0;0;0
C202000652;0;0;0;0;0;3150;0;0;0;0;0;0;0;0;0;0;0;0
C202000656;0;0;0;0;0;0;2000;0;0;0;0;0;0;0;0;0;0;0
C202000661;0;0;0;0;0;0;3198.83;0;0;0;0;0;0;0;0;0;0;0
C202000662;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7516;0;0
C202000663;0;0;0;1855.411;0;0;113.79;0;0;0;0;0;0;0;0;0;0;0
C202000665;0;0;0;0;0;0;4813.771;0;0;0;0;0;0;0;0;0;0;0
C202000671;0;0;0;0;0;0;1792.044;0;2.5;0;0;0;0;0;0;0;0;0
C202000672;0;0;0;0;0;0;1682.894;0;0;0;0;0;0;0;0;0;0;0
C202000674;0;0;0;0;0;0;3368.023;0;0;0;0;0;0;0;0;0;0;0
C202000681;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;419.94
C202000685;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5000.971;0;0
C202000686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4423.7;0;0
C202000694;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4760.77;0;0
C202000695;0;0;0;0;0;0;0;0;0;0;0;0;6036.86;0;0;0;0;0
C202000696;0;0;0;0;0;0;0;0;0;7255;0;0;0;0;0;0;0;0
C202000698;0;0;0;0;0;4545;0;0;0;0;0;0;0;0;0;0;0;0
C202000699;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1862.4;0;0
C202000707;0;0;0;0;0;0;797.429;0;0;0;0;0;0;0;0;0;0;0
C202000712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82.7;0;0;0
C202000716;0;0;0;0;0;1803.6;0;0;461;0;0;0;0;0;0;0;0;0
C202000721;0;0;0;0;1836.184;0;0;0;0;0;0;0;0;0;0;0;0;0
C202000722;0;0;0;0;2400;0;0;0;0;0;0;0;0;0;0;0;0;0
